,lemmatised_Luke
2430,upon
2431,.
2432,voice
2433,came
2434,heaven
2435,:
2436,Thou
2437,art
2438,beloved
2439,Son
2440,.
2441,thee
2442,well
2443,pleased
2444,.
2445,3:23
2446,.
2447,Jesus
2448,beginning
2449,age
2450,thirty
2451,year
2452,:
2453,(
2454,supposed
2455,)
2456,son
2457,Joseph
2458,","
2459,Heli
2460,","
2461,Mathat
2462,","
2463,Heli
2464,....
2465,St.
2466,Joseph
2467,","
2468,nature
2469,son
2470,Jacob
2471,","
2472,(
2473,St.
2474,Matt
2475,.
2476,1
2477,.
2478,16
2479,","
2480,)
2481,account
2482,law
2483,","
2484,son
2485,Heli
2486,.
2487,Heli
2488,Jacob
2489,brother
2490,","
2491,mother
2492,;
2493,Heli
2494,","
2495,elder
2496,","
2497,dying
2498,without
2499,issue
2500,","
2501,Jacob
2502,","
2503,law
2504,directed
2505,","
2506,married
2507,widow
2508,:
2509,consequence
2510,marriage
2511,","
2512,son
2513,Joseph
2514,reputed
2515,law
2516,son
