,lemmatised_Matthew
1824,palsy
1825,","
1826,cured
1827,:
1828,4:25
1829,.
1830,much
1831,people
1832,followed
1833,Galilee
1834,","
1835,Decapolis
1836,","
1837,Jerusalem
1838,","
1839,Judea
1840,","
1841,beyond
1842,Jordan
1843,.
1844,Matthew
1845,Chapter
1846,5
1847,Christ
1848,’
1849,sermon
1850,upon
1851,mount
1852,.
1853,eight
1854,beatitude
1855,.
1856,5:1
1857,.
1858,seeing
1859,multitude
1860,","
1861,went
1862,mountain
1863,","
1864,set
1865,","
1866,disciple
1867,came
1868,unto
1869,.
1870,5:2
1871,.
1872,opening
1873,mouth
1874,taught
1875,","
1876,saying
1877,:
1878,5:3
1879,.
1880,Blessed
1881,poor
1882,spirit
1883,:
1884,kingdom
1885,heaven
1886,.
1887,poor
1888,spirit
1889,....
1890,","
1891,humble
1892,;
1893,whose
1894,spirit
1895,set
1896,upon
1897,rich
1898,.
1899,5:4
1900,.
1901,Blessed
1902,meek
1903,:
1904,shall
1905,posse
1906,land
1907,.
1908,5:5
1909,.
1910,Blessed
1911,mourn
1912,:
1913,shall
1914,comforted
1915,.
1916,5:6
1917,.
1918,Blessed
1919,hunger
1920,thirst
1921,justice
1922,:
1923,shall
1924,fill
1925,.
1926,5:7
1927,.
1928,Blessed
1929,merciful
1930,:
1931,shall
1932,obtain
1933,mercy
1934,.
1935,5:8
1936,.
1937,Blessed
1938,clean
1939,heart
1940,:
1941,shall
1942,see
1943,God
1944,.
1945,5:9
1946,.
1947,Blessed
1948,peacemaker
1949,:
1950,shall
1951,called
1952,child
1953,God
1954,.
1955,5:10
1956,.
1957,Blessed
1958,suffer
1959,persecution
1960,justice
1961,’
1962,sake
1963,:
1964,kingdom
1965,heaven
1966,.
1967,5:11
1968,.
1969,Blessed
1970,ye
1971,shall
1972,revile
1973,","
1974,persecute
1975,","
1976,speak
1977,evil
1978,","
1979,untruly
1980,","
1981,sake
1982,:
1983,5:12
1984,.
1985,glad
1986,rejoice
1987,reward
1988,great
1989,heaven
1990,.
1991,persecuted
1992,prophet
1993,.
1994,5:13
1995,.
1996,salt
1997,earth
1998,.
1999,salt
2000,lose
2001,savour
2002,","
2003,wherewith
2004,shall
2005,salted
2006,?
2007,good
2008,nothing
2009,anymore
2010,cast
2011,","
2012,trodden
2013,men
2014,.
2015,5:14
2016,.
2017,light
2018,world
2019,.
2020,city
2021,seated
2022,mountain
2023,hid
2024,.
2025,5:15
2026,.
2027,Neither
2028,men
2029,light
2030,candle
2031,put
2032,bushel
2033,","
2034,upon
2035,candlestick
2036,","
2037,may
2038,shine
2039,house
2040,.
2041,5:16
2042,.
2043,let
2044,light
2045,shine
2046,men
2047,","
2048,may
2049,see
2050,good
2051,work
2052,","
2053,glorify
2054,Father
2055,heaven
2056,.
2057,5:17
2058,.
2059,think
2060,come
2061,destroy
2062,law
2063,","
2064,prophet
2065,.
2066,come
2067,destroy
2068,","
2069,fulfil
2070,.
2071,fulfil
2072,....
2073,accomplishing
2074,figure
2075,prophecy
2076,;
2077,perfecting
2078,imperfect
2079,.
2080,5:18
2081,.
2082,amen
2083,say
2084,unto
2085,","
2086,till
2087,heaven
2088,earth
2089,pas
2090,","
2091,one
2092,jot
2093,","
2094,one
2095,tittle
2096,shall
2097,pas
2098,law
2099,","
2100,till
2101,fulfilled
2102,.
2103,Amen
2104,....
2105,","
2106,assuredly
2107,truth
2108,....
2109,Hebrew
2110,word
2111,","
2112,amen
2113,","
2114,retained
2115,example
2116,authority
2117,four
2118,Evangelists
2119,.
2120,used
2121,Lord
2122,strong
2123,asseveration
2124,","
2125,affirmation
2126,truth
2127,.
2128,5:19
2129,.
2130,therefore
2131,shall
2132,break
2133,one
2134,least
2135,commandment
2136,","
2137,shall
2138,teach
2139,men
2140,shall
2141,called
2142,least
2143,kingdom
2144,heaven
2145,.
2146,shall
2147,teach
2148,","
2149,shall
2150,called
2151,great
2152,kingdom
2153,heaven
2154,.
2155,5:20
2156,.
2157,tell
2158,","
2159,unless
2160,justice
2161,abound
2162,scribe
2163,Pharisees
2164,","
2165,shall
2166,enter
2167,kingdom
2168,heaven
2169,.
2170,scribe
2171,Pharisees
2172,....
2173,scribe
2174,doctor
2175,law
2176,Moses
2177,:
2178,Pharisees
2179,precise
2180,set
2181,men
2182,","
2183,making
2184,profession
2185,exact
2186,observance
2187,law
2188,:
2189,upon
2190,account
2191,greatly
2192,esteemed
2193,among
2194,people
2195,.
2196,5:21
2197,.
2198,heard
2199,said
2200,old
2201,:
2202,Thou
2203,shalt
2204,kill
2205,.
2206,whosoever
2207,shall
2208,kill
2209,","
2210,shall
2211,danger
2212,judgment
2213,.
2214,Shall
2215,danger
2216,judgment
2217,....
2218,","
2219,shall
2220,deserve
2221,punished
2222,lesser
2223,tribunal
2224,among
2225,Jews
2226,","
2227,called
2228,Judgment
2229,","
2230,took
2231,cognizance
2232,crime
2233,.
2234,5:22
2235,.
2236,say
2237,","
2238,whosoever
2239,angry
2240,brother
2241,","
2242,shall
2243,danger
2244,judgment
2245,.
2246,whosoever
2247,shall
2248,say
2249,brother
2250,","
2251,Raca
2252,","
2253,shall
2254,danger
2255,council
2256,.
2257,whosoever
2258,shall
2259,say
2260,","
2261,Thou
2262,fool
2263,","
2264,shall
2265,danger
2266,hell
2267,fire
2268,.
2269,Raca
2270,....
2271,word
2272,expressing
2273,great
2274,indignation
2275,contempt
2276,.
2277,Shall
2278,danger
2279,council
2280,....
2281,","
2282,shall
2283,deserve
2284,punished
2285,highest
2286,court
2287,judicature
2288,","
2289,called
2290,Council
2291,","
2292,Sanhedrim
2293,","
2294,consisting
2295,seventy-two
2296,person
2297,","
2298,highest
2299,cause
2300,tried
2301,judged
2302,","
2303,Jerusalem
2304,.
2305,Thou
2306,fool
2307,....
2308,looked
2309,upon
2310,heinous
2311,injury
2312,","
2313,uttered
2314,contempt
2315,","
2316,spite
2317,","
2318,malice
2319,:
2320,therefore
2321,severely
2322,condemned
2323,.
2324,Shall
2325,danger
2326,hell
2327,fire
2328,....
2329,literally
2330,","
2331,according
2332,Greek
2333,","
2334,shall
2335,deserve
2336,cast
2337,Gehenna
2338,fire
2339,.
2340,word
2341,Saviour
2342,made
2343,use
2344,express
2345,fire
2346,punishment
2347,hell
2348,.
2349,5:23
2350,.
2351,therefore
2352,thou
2353,offer
2354,thy
2355,gift
2356,altar
2357,","
2358,thou
2359,remember
2360,thy
2361,brother
2362,hath
2363,anything
2364,thee
2365,;
2366,5:24
2367,.
2368,Leave
2369,thy
2370,offering
2371,altar
2372,","
2373,go
2374,first
2375,reconciled
2376,thy
2377,brother
2378,","
2379,coming
2380,thou
2381,shalt
2382,offer
2383,thy
2384,gift
2385,.
2386,5:25
2387,.
2388,agreement
2389,thy
2390,adversary
2391,betimes
2392,","
2393,whilst
2394,thou
2395,art
2396,way
2397,:
2398,lest
2399,perhaps
2400,adversary
2401,deliver
2402,thee
2403,judge
2404,","
2405,judge
2406,deliver
2407,thee
2408,officer
2409,","
2410,thou
2411,cast
2412,prison
2413,.
2414,5:26
2415,.
2416,Amen
2417,say
2418,thee
2419,","
2420,thou
2421,shalt
2422,go
2423,thence
2424,till
2425,thou
2426,repay
2427,last
2428,farthing
2429,.
2430,5:27
2431,.
2432,heard
2433,said
2434,old
2435,:
2436,Thou
2437,shalt
2438,commit
2439,adultery
2440,.
2441,5:28
2442,.
2443,say
2444,","
2445,whosoever
2446,shall
2447,look
2448,woman
2449,lust
2450,","
2451,hath
2452,already
2453,committed
2454,adultery
2455,heart
2456,.
2457,5:29
2458,.
2459,thy
2460,right
2461,eye
2462,scandalize
2463,thee
2464,","
2465,pluck
2466,cast
2467,thee
